,Handset Type,Average Throughput (kbps)
213,Ecom Instruments. Ecom Mobile Safety Ex-Handy 209,4169.5
214,Ecom Instruments. Ecom Mobile Safety Smart-Ex 201,9499.0
215,Electro Depot Fr. W55Hd,7124.5
216,Ertebat Hamrah G. Glx H1,3338.3333333333335
217,Essential Produc. Ph-1,12287.5
218,Fairphone B.V Fairphone 2,11676.125
219,Fully Holdings (. C8 4G,5239.5
220,Fully Holdings (. K10,779.0
221,Fully Holdings (. Oukitel C2,11086.5
222,Gemalto M2M Gmbh Cinterion Bgs3,4.0
223,Gemalto M2M Gmbh Cinterion Ehs5-E,10.5
224,Gemalto M2M Gmbh Cinterion Ehs6,20.25
225,Gemalto M2M Gmbh Cinterion Pls8-E,80.80555555555556
226,Gemalto M2M Gmbh Cinterion Wireless Module Phs8-P,28.5
227,Gemalto M2M Gmbh Eu3-E,19.25
228,Gigaset Communic. Gs100,5223.5
229,Gigaset Communic. Gs185,2418.5
230,Google Inc G011C,14978.245762222223
231,Google Inc Pixel 3,8134.369047619048
232,Google Inc Pixel 3Xl,6096.564413611111
233,Gotron (Hk) Elec. Armor X,8023.0
234,Gotron (Hk) Elec. Gemini,2083.5
235,Gotron (Hk) Elec. Power 5,52.0
236,Group Acquisitio. Cirrus 5,5204.0
237,Group Acquisitio. Fly Evo Chic 4,44.0
238,Haier G50 L54,5807.333333333333
239,Haier Hw-W717 Hw-W816 Hw-W870,76.0
240,Haier L55,13210.0
241,Haier W826,4378.0
242,Hem Easy,5139.642857142857
243,Hewlett-Packard Hp Elite X3,30.5
244,Hmd Global Oy Nokia 1,275.5
245,Hmd Global Oy Nokia 1 Ds,1913.2857142857142
246,Hmd Global Oy Nokia 2,17820.25
247,Hmd Global Oy Nokia 2 Ds,3816.75
248,Hmd Global Oy Nokia 3,7198.75
249,Hmd Global Oy Nokia 3 Ds,189.625
250,Hmd Global Oy Nokia 3310 Ds 3G,24.0
251,Hmd Global Oy Nokia 5 Ds,3011.9
252,Hmd Global Oy Nokia 5 Ss,14.5
253,Hmd Global Oy Nokia 6 Ds,3057.5
254,Hmd Global Oy Nokia 6 Ss,11792.42857142857
255,Hmd Global Oy Nokia 6.1 Ds,5989.111111111111
256,Hmd Global Oy Nokia 7 Plus Ds,10148.394635252525
257,Hmd Global Oy Nokia 8 Ss,5888.333333333333
258,Hmd Global Oy Nokia 8110 4G Ds,42.5
259,Hmd Global Oy Ta-1003,206.5
260,Hmd Global Oy Ta-1006,34.15
261,Hmd Global Oy Ta-1049,11971.0
262,Hmd Global Oy Ta-1063,2314.645341140351
263,Hmd Global Oy Ta-1063 Ds,7783.25
264,Hmd Global Oy Ta-1080,1587.65
265,Hmd Global Oy Ta-1095,11791.75
266,Hmd Global Oy Ta-1109,7.0
